eYearBegin,eYearEnd,cityCodeOri,cityNameOri,cityCodeDes,cityNameDes,transportModeCode,length,notes
,,38565,VOREPPE,38170,FONTANIL-CORNILLON,71,,
1974,,38184,GRENAY,38449,SAINT-QUENTIN-FALLAVIER,6,,A43
1974,,38449,SAINT-QUENTIN-FALLAVIER,38537,LA VERPILLIERE,6,,A43
1974,,38537,LA VERPILLIERE,38530,VAULX-MILIEU,6,,A43
1974,,38530,VAULX-MILIEU,38193,L'ISLE-D'ABEAU,6,,A43
1974,,38193,L'ISLE-D'ABEAU,38053,BOURGOIN-JALLIEU,6,,A43
1974,,38053,BOURGOIN-JALLIEU,38276,NIVOLAS-VERMELLE,6,,A43
1974,,38276,NIVOLAS-VERMELLE,38481,SEREZIN-DE-LA-TOUR,6,,A43
1974,,38481,SEREZIN-DE-LA-TOUR,38464,SAINT-VICTOR-DE-CESSIEU,6,,A43
1974,,38464,SAINT-VICTOR-DE-CESSIEU,38508,TORCHEFELON,6,,A43
1974,,38508,TORCHEFELON,38257,MONTREVEL,6,,A43
1974,,38257,MONTREVEL,38065,CHABONS,6,,A43
1974,,38065,CHABONS,38063,BURCIN,6,,A43
1974,,38063,BURCIN,38118,COLOMBE,6,,A43
1974,,38118,COLOMBE,38337,RIVES,6,,A43
1974,,38337,RIVES,38331,REAUMONT,6,,A43
1974,,38331,REAUMONT,38373,SAINT-CASSIEN,6,,A43
1974,,38373,SAINT-CASSIEN,38400,SAINT-JEAN-DE-MOIRANS,6,,A43
1974,,38400,SAINT-JEAN-DE-MOIRANS,38061,LA BUISSE,6,,A43
1974,,38061,LA BUISSE,38565,VOREPPE,6,,A43
1974,,38565,VOREPPE,38170,FONTANIL-CORNILLON,6,,A43
1974,,38170,FONTANIL-CORNILLON,38382,SAINT-EGREVE,6,,A43
1974,,38382,SAINT-EGREVE,38185,GRENOBLE,6,,A43
1974,,38185,GRENOBLE,38151,ECHIROLLES,6,,A43
1974,,38151,ECHIROLLES,38317,LE PONT-DE-CLAIX,6,,A43
1999,,38317,LE PONT-DE-CLAIX,38524,VARCES-ALLIERES-ET-RISSET,6,,
1999,,38524,VARCES-ALLIERES-ET-RISSET,38545,VIF,6,,
1999,,38545,VIF,38115,SAINT-MARTIN-DE-LA-CLUZE,6,,
1999,,38115,SAINT-MARTIN-DE-LA-CLUZE,38492,SINARD,6,,
1999,,38492,SINARD,38242,MONESTIER-DE-CLERMONT,6,,
1999,,38242,MONESTIER-DE-CLERMONT,38342,ROISSARD,6,,
1974,,38481,SEREZIN-DE-LA-TOUR,38064,CESSIEU,6,,
1974,,38064,CESSIEU,38509,LA TOUR-DU-PIN,6,,
1974,,38509,LA TOUR-DU-PIN,38377,SAINT-CLAIR-DE-LA-TOUR,6,,
1974,,38377,SAINT-CLAIR-DE-LA-TOUR,38029,LA BATIE-MONTGASCON,6,,
1974,,38029,LA BATIE-MONTGASCON,38104,CHIMILIN,6,,
1974,,38104,CHIMILIN,38343,ROMAGNIEU,6,,
1977,,38151,ECHIROLLES,38158,EYBENS,6,,
1977,,38158,EYBENS,38421,SAINT-MARTIN-D'HERES,6,,
1977,,38421,SAINT-MARTIN-D'HERES,38229,MEYLAN,6,,
1977,,38229,MEYLAN,38249,MONTBONNOT-SAINT-MARTIN,6,,
1977,,38249,MONTBONNOT-SAINT-MARTIN,38397,SAINT-ISMIER,6,,
1977,,38397,SAINT-ISMIER,38431,SAINT-NAZAIRE-LES-EYMES,6,,
1977,,38431,SAINT-NAZAIRE-LES-EYMES,38039,BERNIN,6,,
1977,,38039,BERNIN,38140,CROLLES,6,,
1977,,38140,CROLLES,38214,LUMBIN,6,,
1977,,38214,LUMBIN,38503,LA TERRASSE,6,,
1977,,38503,LA TERRASSE,38511,LE TOUVET,6,,
1977,,38511,LE TOUVET,38466,SAINT-VINCENT-DE-MERCUZE,6,,
1977,,38466,SAINT-VINCENT-DE-MERCUZE,38417,SAINTE-MARIE-D'ALLOIX,6,,
1977,,38417,SAINTE-MARIE-D'ALLOIX,38062,LA BUISSIERE,6,,
1977,,38062,LA BUISSIERE,38314,PONTCHARRA,6,,
1992,,38565,VOREPPE,38540,VEUREY-VOROIZE,6,,
1992,,38540,VEUREY-VOROIZE,38450,SAINT-QUENTIN-SUR-ISERE,6,,
1992,,38450,SAINT-QUENTIN-SUR-ISERE,38310,POLIENAS,6,,
1992,,38310,POLIENAS,38004,L'ALBENC,6,,
1992,,38004,L'ALBENC,38033,BEAULIEU,6,,
1992,,38033,BEAULIEU,38500,TECHE,6,,
1992,,38500,TECHE,38454,SAINT-SAUVEUR,6,,
1992,,38454,SAINT-SAUVEUR,38495,LA SONE,6,,
1992,,38495,LA SONE,38394,SAINT-HILAIRE-DU-ROSIER,6,,
1992,,38394,SAINT-HILAIRE-DU-ROSIER,38410,SAINT-LATTIER,6,,
1968,,38072,CHANAS,38468,SALAISE-SUR-SANNE,6,,A7
1968,,38468,SALAISE-SUR-SANNE,38344,ROUSSILLON,6,,A7
1968,,38344,ROUSSILLON,38019,AUBERIVES-SUR-VAREZE,6,,A7
1968,,38019,AUBERIVES-SUR-VAREZE,38336,REVENTIN-VAUGRIS,6,,A7
1968,,38336,REVENTIN-VAUGRIS,38544,VIENNE,6,,A7
1968,,38544,VIENNE,38487,SEYSSUEL,6,,A7
1968,,38487,SEYSSUEL,38087,CHASSE-SUR-RHONE,6,,A7
