cityCode,population,cityName,year
38375,107,Saint-Christophe-en-Oisans,2010
38040,126,Besse,2010
38237,191,Mizoën,2010
38112,101,Clavans-en-Haut-Oisans,2010
38078,571,La Chapelle-du-Bard,2010
38253,1908,Les Deux Alpes,2010
38173,252,Le Freney-d'Oisans,2010
38006,4102,Allevard,2010
38527,337,Vaujany,2010
38163,398,Le Haut-Bréda,2010
38191,1307,Huez,2010
38020,190,Auris,2010
38268,261,Le Moutaret,2010
38522,135,Valjouffrey,2010
38289,235,Oz,2010
38177,98,La Garde,2010
38426,654,Saint-Maximin,2010
38439,3339,Crêts en Belledonne,2010
38550,56,Villard-Reculas,2010
38549,27,Villard-Notre-Dame,2010
38052,3278,Le Bourg-d'Oisans,2010
38314,7344,Pontcharra,2010
38005,971,Allemond,2010
38504,1961,Theys,2010
38551,43,Villard-Reymond,2010
38100,2566,Le Cheylas,2010
38002,1006,Les Adrets,2010
38181,2425,Goncelin,2010
38062,669,La Buissière,2010
38469,65,La Salette-Fallavaux,2010
38206,984,Laval,2010
38073,203,Chantepérier,2010
38027,1886,Barraux,2010
38417,478,Sainte-Marie-d'Alloix,2010
38192,168,Hurtières,2010
38285,152,Ornon,2010
38154,230,Entraigues,2010
38286,7,Oulles,2010
38166,490,La Flachère,2010
38350,563,Sainte-Agnès,2010
38466,1519,Saint-Vincent-de-Mercuze,2010
38031,20,Beaufin,2010
38501,2095,Tencin,2010
38075,3010,Chapareillan,2010
38511,3229,Le Touvet,2010
38128,486,Corps,2010
38303,574,La Pierre,2010
38070,1197,Le Champ-près-Froges,2010
38008,28,Ambel,2010
38430,320,Saint-Mury-Monteymond,2010
38503,2539,La Terrasse,2010
38132,70,Les Côtes-de-Corps,2010
38418,237,Sainte-Marie-du-Mont,2010
38175,3331,Froges,2010
38241,21,Monestier-d'Ambel,2010
38212,1315,Livet-et-Gavet,2010
38120,701,La Combe-de-Lancey,2010
38214,2136,Lumbin,2010
38428,31,Saint-Michel-en-Beaumont,2010
38518,495,Valbonnais,2010
38334,1314,Revel,2010
38414,43,Sainte-Luce,2010
38207,151,Lavaldens,2010
38567,422,Chamrousse,2010
38140,8247,Crolles,2010
38547,7107,Villard-Bonnot,2010
38395,2434,Plateau-des-Petites-Roches,2010
38283,114,Oris-en-Rattier,2010
38299,136,Pellafol,2010
38329,67,Quet-en-Beaumont,2010
38404,292,Saint-Jean-le-Vieux,2010
38039,3072,Bernin,2010
38470,318,La Salle-en-Beaumont,2010
38264,132,La Morte,2010
38538,4818,Le Versoud,2010
38422,5451,Saint-Martin-d'Uriage,2010
38521,71,La Valette,2010
38431,2955,Saint-Nazaire-les-Eymes,2010
38446,571,Saint-Pierre-d'Entremont,2010
38489,136,Siévoz,2010
38413,454,Saint-Laurent-en-Beaumont,2010
38529,3867,Vaulnaveys-le-Haut,2010
38150,6745,Domène,2010
38478,1052,Séchilienne,2010
38397,6966,Saint-Ismier,2010
38273,466,Nantes-en-Ratier,2010
38456,449,Châtel-en-Trièves,2010
38271,882,Murianette,2010
38364,433,Saint-Barthélemy-de-Séchilienne,2010
38444,126,Saint-Pierre-de-Méaroz,2010
38396,814,Saint-Honoré,2010
38552,406,Villard-Saint-Christophe,2010
38249,5134,Montbonnot-Saint-Martin,2010
38528,1282,Vaulnaveys-le-Bas,2010
38533,729,Venon,2010
38497,140,Sousville,2010
38106,329,Cholonge,2010
38045,2386,Biviers,2010
38313,291,Ponsonnas,2010
38442,1015,Saint-Pierre-de-Chartreuse,2010
38188,1361,Herbeys,2010
38376,838,Saint-Christophe-sur-Guiers,2010
38179,6779,Gières,2010
38269,4948,La Mure,2010
38229,17129,Meylan,2010
38471,1121,Le Sappey-en-Chartreuse,2010
38203,455,Laffrey,2010
38562,7361,Vizille,2010
38059,2556,Brié-et-Angonnes,2010
38366,257,Saint-Baudille-et-Pipet,2010
38116,42,Cognet,2010
38462,521,Saint-Théoffrey,2010
38304,1496,Pierre-Châtel,2010
38514,178,Tréminis,2010
38309,2168,Poisat,2010
38421,38487,Saint-Martin-d'Hères,2010
38445,764,Saint-Pierre-de-Mésage,2010
38499,1272,Susville,2010
38252,339,Montchaboud,2010
38472,189,Sarcenas,2010
38126,4013,Corenc,2010
38326,355,Prunières,2010
38155,1763,Entre-deux-Guiers,2010
38403,288,Saint-Jean-d'Hérans,2010
38226,1397,Mens,2010
38279,1147,Notre-Dame-de-Mésage,2010
38402,532,Saint-Jean-de-Vaulx,2010
38057,684,Bresson,2010
38158,10185,Eybens,2010
38200,3746,Jarrie,2010
38516,6596,La Tronche,2010
38361,84,Saint-Arey,2010
38280,509,Notre-Dame-de-Vaulx,2010
38265,1712,La Motte-d'Aveillans,2010
38412,4531,Saint-Laurent-du-Pont,2010
38328,893,Quaix-en-Chartreuse,2010
38071,3007,Champ-sur-Drac,2010
38068,1226,Champagnier,2010
38185,158454,Grenoble,2010
38266,444,La Motte-Saint-Martin,2010
38388,2276,Saint-Georges-de-Commiers,2010
38423,5778,Saint-Martin-le-Vinoux,2010
38151,36840,Échirolles,2010
38325,507,Proveysieux,2010
38224,97,Mayres-Savel,2010
38321,164,Prébois,2010
38236,1721,Miribel-les-Échelles,2010
38277,518,Notre-Dame-de-Commiers,2010
38127,165,Cornillon-en-Trièves,2010
38564,226,Voissant,2010
38254,487,Monteynard,2010
38317,10435,Le Pont-de-Claix,2010
38354,405,Saint-Albin-de-Vaulserre,2010
38217,72,Marcieu,2010
38405,1219,Saint-Joseph-de-Rivière,2010
38204,193,Lalley,2010
38382,15838,Saint-Égrève,2010
38258,79,Mont-Saint-Martin,2010
38420,260,Saint-Martin-de-Vaulserre,2010
38372,723,Saint-Bueil,2010
38208,148,Lavars,2010
38169,22523,Fontaine,2010
38524,8250,Varces-Allières-et-Risset,2010
38486,7685,Seyssins,2010
38545,8532,Vif,2010
38407,984,La Sure en Chartreuse,2010
38023,197,Avignonet,2010
38485,12013,Seyssinet-Pariset,2010
38398,966,Saint-Jean-d'Avelanne,2010
38170,2710,Fontanil-Cornillon,2010
38362,1137,Saint-Aupre,2010
38115,717,Saint-Martin-de-la-Cluze,2010
38315,3630,Le Pont-de-Beauvoisin,2010
38513,292,Treffort,2010
38228,487,Merlas,2010
