eYearBegin,eYearEnd,cityCodeOri,cityNameOri,cityCodeDes,cityNameDes,transportModeCode,length,notes
,,38185,GRENOBLE,38151,ECHIROLLES,71,,
1974,,38449,SAINT-QUENTIN-FALLAVIER,38537,LA VERPILLIERE,6,,A43
1974,,38537,LA VERPILLIERE,38193,L'ISLE-D'ABEAU,6,,A43
1974,,38193,L'ISLE-D'ABEAU,38053,BOURGOIN-JALLIEU,6,,A43
1974,,38053,BOURGOIN-JALLIEU,38509,LA TOUR-DU-PIN,6,,A43
1974,,38509,LA TOUR-DU-PIN,38001,LES ABRETS EN DAUPHINE,6,,A43
1974,,38087,CHASSE-SUR-RHONE,38544,VIENNE,6,,A43
1974,,38544,VIENNE,38344,ROUSSILLON,6,,A43
1974,,38053,BOURGOIN-JALLIEU,38337,RIVES,6,,A43
1974,,38337,RIVES,38239,MOIRANS,6,,A43
1974,,38239,MOIRANS,38565,VOREPPE,6,,A43
1974,,38565,VOREPPE,38382,SAINT-EGREVE,6,,A43
1974,,38382,SAINT-EGREVE,38185,GRENOBLE,6,,A43
1974,,38185,GRENOBLE,38151,ECHIROLLES,6,,
1974,,38151,ECHIROLLES,38317,LE PONT-DE-CLAIX,6,,
1999,,38317,LE PONT-DE-CLAIX,38524,VARCES-ALLIERES-ET-RISSET,6,,
1999,,38524,VARCES-ALLIERES-ET-RISSET,38545,VIF,6,,
1977,,38151,ECHIROLLES,38158,EYBENS,6,,
1977,,38158,EYBENS,38421,SAINT-MARTIN-D'HERES,6,,
1977,,38421,SAINT-MARTIN-D'HERES,38229,MEYLAN,6,,
1977,,38229,MEYLAN,38249,MONTBONNOT-SAINT-MARTIN,6,,
1977,,38249,MONTBONNOT-SAINT-MARTIN,38397,SAINT-ISMIER,6,,
1977,,38397,SAINT-ISMIER,38140,CROLLES,6,,
1977,,38140,CROLLES,38314,PONTCHARRA,6,,
1992,,38565,VOREPPE,38517,TULLINS,6,,
1992,,38517,TULLINS,38416,SAINT-MARCELLIN,6,,
